year,field,tech_name,patent_count,category
2019,기타,소계,536351,기타
2020,기타,소계,52867,기타
2021,기타,소계,554723,기타
2022,기타,소계,43242,기타
2019,감축,소계,481747,감축
2020,감축,소계,47134,감축
2021,감축,소계,491880,감축
2022,감축,소계,39081,감축
2019,감축,비재생에너지,7405,감축
2020,감축,비재생에너지,586,감축
2021,감축,비재생에너지,7694,감축
2022,감축,비재생에너지,1372,감축
2019,감축,재생에너지,104106,감축
2020,감축,재생에너지,11676,감축
2021,감축,재생에너지,108811,감축
2022,감축,재생에너지,10559,감축
2019,감축,신에너지,7069,감축
2020,감축,신에너지,692,감축
2021,감축,신에너지,7469,감축
2022,감축,신에너지,704,감축
2019,감축,에너지저장,70900,감축
2020,감축,에너지저장,7618,감축
2021,감축,에너지저장,74942,감축
2022,감축,에너지저장,12867,감축
2019,감축,송배전&전력IT,69306,감축
2020,감축,송배전&전력IT,6603,감축
2021,감축,송배전&전력IT,71776,감축
2022,감축,송배전&전력IT,1355,감축
2019,감축,에너지수요,220916,감축
2020,감축,에너지수요,19739,감축
2021,감축,에너지수요,218645,감축
2022,감축,에너지수요,12143,감축
2019,감축,온실가스 고정,2045,감축
2020,감축,온실가스 고정,220,감축
2021,감축,온실가스 고정,2543,감축
2022,감축,온실가스 고정,81,감축
2019,적응,소계,14523,적응
2020,적응,소계,1192,적응
2021,적응,소계,23094,적응
2022,적응,소계,3495,적응
2019,적응,농업&축산,4347,적응
2020,적응,농업&축산,448,적응
2021,적응,농업&축산,6286,적응
2022,적응,농업&축산,950,적응
2019,적응,물관리,10176,적응
2020,적응,물관리,744,적응
2021,적응,물관리,12331,적응
2022,적응,물관리,2241,적응
2021,적응,예측･모니터링,2457,적응
2022,적응,예측･모니터링,158,적응
2021,적응,해양수산연안,520,적응
2022,적응,해양수산연안,80,적응
2021,적응,건강,1090,적응
2022,적응,건강,48,적응
2021,적응,산림육상,410,적응
2022,적응,산림육상,18,적응
2019,융복합,소계,40081,융복합
2020,융복합,소계,4541,융복합
2021,융복합,소계,39749,융복합
2022,융복합,소계,666,융복합
2019,융복합,감축 및 적응 융복합,40081,융복합
2020,융복합,감축 및 적응 융복합,4541,융복합
2021,융복합,감축 및 적응 융복합,39749,융복합
2022,융복합,감축 및 적응 융복합,666,융복합
