L1_대분류,L2_중분류,L3_소분류,No
감축,(1)비재생 에너지,1. 원자력 발전,1
감축,(1)비재생 에너지,2. 핵융합 발전,2
감축,(1)비재생 에너지,3. 청정화력 발전·효율화,3
감축,(2)재생 에너지,4. 수력,4
감축,(2)재생 에너지,5. 태양광,5
감축,(2)재생 에너지,6. 태양열,6
감축,(2)재생 에너지,7. 지열,7
감축,(2)재생 에너지,8. 풍력,8
감축,(2)재생 에너지,9. 해양에너지,9
감축,(2)재생 에너지,10. 바이오에너지,10
감축,(2)재생 에너지,11. 폐기물,11
감축,(3)신에너지,12. 수소제조,12
감축,(3)신에너지,13. 연료전지,13
감축,(4)에너지 저장,14. 전력저장,14
감축,(4)에너지 저장,15. 수소저장,15
감축,(5)송배전 & 전력 IT,16. 송배전 시스템,16
감축,(5)송배전 & 전력 IT,17. 전기지능화 기기,17
감축,(6) 에너지 수요,18. 수송효율화,18
감축,(6) 에너지 수요,19. 산업효율화,19
감축,(6) 에너지 수요,20. 건축효율화,20
감축,(7)온실가스 고정,21. CCUS,21
감축,(7)온실가스 고정,22. Non-Co2 저감,22
적응,(8) 농업 & 축산,23. 유전자원 & 유전개량,23
적응,(8) 농업 & 축산,24. 작물재배 & 생산,24
적응,(8) 농업 & 축산,25. 가축질병관리,25
적응,(8) 농업 & 축산,"26. 가공, 저장 & 유통",26
적응,(9) 물관리,27. 수계 & 수생태계,27
적응,(9) 물관리,28. 수자원 확보 및 공급,28
적응,(9) 물관리,29. 수처리,29
적응,(9) 물관리,30. 수재해 관리,30
적응,(10)기후변화예측 및 모니터링,31. 기후 예측 및 모델링,31
적응,(10)기후변화예측 및 모니터링,32. 기후 정보 & 경보 시스템,32
적응,"(11)해양, 수산 & 연안",33. 해양생태계,33
적응,"(11)해양, 수산 & 연안",34. 수산자원,34
적응,"(11)해양, 수산 & 연안",35. 연안재해 관리,35
적응,(12) 건강,36. 감염 질병 관리,36
적응,(12) 건강,37. 식품 안전 예방,37
적응,(13)산림 & 육상,38. 산림 생산 증진,38
적응,(13)산림 & 육상,39. 산림 피해 저감,39
적응,(13)산림 & 육상,40. 생태 모니터링 & 복원,40
감축/ 적응 융복합,(14) 다분야 중첩,41. 신재생에너지 하이브리드,41
감축/ 적응 융복합,(14) 다분야 중첩,42. 저전력 소모 장비,42
감축/ 적응 융복합,(14) 다분야 중첩,43. 에너지하베스팅,43
감축/ 적응 융복합,(14) 다분야 중첩,44. 인공광합성,44
감축/ 적응 융복합,(14) 다분야 중첩,45. 분류체계로 다루기 어려운 기후변화 관련 기타 기술,45
